9,Mysuru Main,M048,Mysuru Main,M785,Mysuru Main,M048,IB,30.01.2021,IDIB000M048,30.01.2021,"No.57/4, R.S. PLAZA IST FLOOR, VINOBA ROAD,GANDHI SQUARE, VINOBA ROAD, MYSURU, KARNATAKA -570001",0821-2426695,mysore@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tumakuru,T057,Tumkur,T613,Tumakuru,T057,IB,28.01.2021,IDIB000T057,28.01.2021,"No. 46, ASHOKA ROAD, WESLEY CHURCH SHOPPING COMPLEX, TUMKUR, KARNATAKA -572101",0816-2278894,tumkur@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alappuzha,A012,Aleppey,A585,Alappuzha,A012,IB,11.09.2020,IDIB000A012,11.09.2020,"P B No 3814, MULLAKKAL, MULLACKAL DEVASOM BUILDING, ALAPPUZHA P.O. ALAPPUZHA DIST, IRON BRIDGE, ALAPPUZHA, KERALA - 688011","0477-2252474
04772251942/FAX",alappuzha@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chengannur,C015,Chengannur,C568,Chengannur,C015,IB,01.10.2020,IDIB000C015,01.10.2020,"P B No. 7, ENGINEERING COLLEGE ROAD,CHENGANNUR, ALAPPUZHA, KERALA- 689121",0479-2452962,chengannur@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kottayam,K050,Kottayam,K805,Kottayam,K805,eAB,07.10.2020,IDIB000K805,07.10.2020,"SASTRY ROAD, BEN'S TOWER, KOTTAYAM, KERALA - 686001",04812581718,kottayam@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pala,P066,Pala,P526,Pala,P066,IB,25.09.2020,IDIB000P066,25.09.2020,"CHOORANOLICKAL BUILDING, KATTAKKAYAM ROAD,PALA, KOTTAYAM, KERALA -686575",04822 212237 ,pala@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pallimukku,E020,Ernakulam,E508,Pallimukku,E020,IB,01.10.2020,IDIB000E020,01.10.2020,"P B NO 2319, VENKAT TOWERS, M G ROAD, PALLIMUKKU, ERNAKULAM, MG ROAD,ERNAKULAM, KERALA- 682016",04842358140,pallimukku@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pathanathamthitta,P078,Pathanathamthitta,P595,Pathanathamthitta,P078,IB,09.09.2020,IDIB000P078,09.09.2020,"P B No 16, ST PETERS JUNCTION, PATHANAMTHITTA, KERALA- 689645",0468- 2222470 ,pathanamthitta@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thiruvalla,T121,Thiruvalla,T561,Thiruvalla,T121,IB,29.09.2020,IDIB000T121,29.09.2020,"AZHAKATHU ALAPAT BUILDING, NEAR MARYGIRI ARCH BISHOP HOUSE, MARKET ROAD, THIRUVALLA, PATHANAMTHITTA, KERALA - 689101",04692700878,thiruvalla@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thodupuzha,T132,Thodupuzha,T565,Thodupuzha,T132,IB,25.09.2020,IDIB000T132,25.09.2020,"VII / 528 / 9, PULIMOOTTIL, PIONEER COMERCIAL COMPLEX, PALA ROAD, THODUPUZHA, IDUKKI, KERALA -685584",04862225020,thodupuzha@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tripunithura,T171,Thirpunithura,T566,Tripunithura,T171,IB,10.09.2020,IDIB000T171,10.09.2020,"INDIAN BANK JN, TRIPUNITHURA-EROOR ROAD, POST  EROOR, ERNAKULAM, KERALA - 682306",04842774554,tripunithura@indianbank.co.in,Bengaluru,Ernakulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bellary,B015,Bellari,B726,Bellary,B015,IB,11.09.2020,IDIB000B015,11.09.2020,"P B No 537, GOLD SMITH STREET  BRUCEPET  BELLARY, KARNATAKA -583101",08392-231488,bellary@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bidar,B117,Bidar,B806,Bidar,B117,IB,16.09.2020,IDIB000B117,16.09.2020,"8-9-214 , FIRST FLOOR, UDGIR ROAD, SINDOL TYRES BUILDING OPP AKKAMAHA  DEVI COLLEGE, BIDAR, KARNATAKA - 585401",08482220630,bidar@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chukkmagaluru,C019,Chickmagaluru,C586,Chukkmagaluru,C019,IB,18.09.2020,IDIB000C019,18.09.2020,"JYOTHI COMPLEX, M G Road, CHIKMAGALUR, KARNATAKA- 577101",08262237825,chickmagalur@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Dharwad,D017,Dharwad,D619,Dharwad,D619,eAB,02.09.2020,IDIB000D619,02.09.2020,"GURUPRASAD, No. 1, KEMPAGERI, 15TH WARD, LINE BAZAR, RAMNAGAR, DHARWAD, KARNATAKA -580001",08362445100,DHARWAD@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gadag,G097,Gadag,G504,Gadag,G097,IB,05.09.2020,IDIB000G097,05.09.2020,"SHRI SAI COMPLEX, PLOT No.1, SEVALAL NAGAR, KALASAPUR ROAD, GADAG, KARNATAKA -582101",08372235640,gadag@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hosapete,H010,Hospet,H585,Hosapete,H010,IB,10.09.2020,IDIB000H010,10.09.2020,"AGALI ARCADE COLLEGE ROAD, NEAR BUS STAND, HOSPET HPO, HOSPET   BELLARY, KARNATAKA - 583201",08394-228629,hospet@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburgi,G022,Kalaburgi,G640,Kalaburgi,G022,IB,15.09.2020,IDIB000G022,15.09.2020,"PLOT No 5 and 76, IST FLOOR, SUPER MARKET AREA, GULBARGA, KARNATAKA - 585101",08472-221039,gulbarga@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Koppal,K332,Koppal,K790,Koppal,K332,IB,08.09.2020,IDIB000K332,08.09.2020,"7-2-164 GADAG HOSPET ROAD, HUDCO COLONY, KOPPAL DISTRICT, KARNATAKA- 583231",08539-220913,koppal@ndianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mangaluru,M015,Mangalore,M606,Mangaluru,M015,IB,15.09.2020,IDIB000M015,15.09.2020,"KRISHNA PRASAD BUILDING, K S RAO ROAD, MANGALORE, HAMPANKATTA, DAKSHINA KANNADA, KARNATAKA - 575001",0824-2410615,mangalore@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Raichur,R001,Raichur,R514,Raichur,R001,IB,08.09.2020,IDIB000R001,08.09.2020,"P B No. 360, 10/4/100, GUNJ ROAD, MAKTHALPET, RAICHUR, KARNATAKA- 584102",08532 235976,raichur@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Shivamogga ,S020,Shimoga,S662,Shivamogga ,S020,IB,23.02.2021,IDIB000S020,23.02.2021,"CSI COMPLEX, TALUK OFFICE CIRCLE, B H ROAD, SHIMOGA, KARNATAKA -577201",08182 222171,shimoga@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chitradurga,C025,Chitradurga,A578,Chitradurga,C025,IB,06.03.2021,IDIB000C025,06.03.2021,"P B No 40, BEHIND BSNL OFFICE ROAD,BEHIND SRE TRANSPORT OFFICE,H P O CHITRDURGA, KARNATAKA -577501",08194-222601,chitradurga@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Davengere,D005,Davengere,D546,Davengere,D546,eAB,06.03.2021,IDIB000D546,06.03.2021,NO 63 A AM AROAD DAVANGERE KARNATAKA -577002,08192233030,DAVANAGERE@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Udupi,U025,Udupi,U510,Udupi,U025,IB,08.03.2021,IDIB000U025,08.03.2021,"UGF JEWEL PLAZA -B, 3RD CROSS, MARUTHI VEETHIKA, UDUPI, KARNATAKA- 576101",0820-2526287,udupi@indianbank.co.in,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gangavathi,G114,Gangavathi,G528,Gangavathi,G114,IB,04.03.2021,IDIB000G114,04.03.2021,"MPL NP 2-17-41/1/B2, WARD NO 10, NEAR CHURCH OPP. SAI BABA RICE MILL, R G ROAD,GANGAVATHI, KOPPAL DISTRICT, KARNATAKA - 583227",08533 270144,gangavathi@indianbank.co,Bengaluru,Hubballi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
